id,createAt,payload,RIGHT,LEFT,temperature,ON/OFF
message_499a4f8d-485f-4602-af16-608208941e75,2023-02-10 11:48:17:734,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_ca130f45-11bb-4acd-9ab8-a5f26163fcd0,2023-02-10 11:49:17:738,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_d30afc3f-e471-4e20-ab5b-bcacc03bb2e8,2023-02-10 11:50:17:740,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_a208444a-6136-4743-875e-bc2384e929c5,2023-02-10 11:51:17:736,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_f5faefcd-f031-4eee-bb62-3fef55699d49,2023-02-10 11:52:17:734,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_250c593c-b566-4158-a215-3286b710b472,2023-02-10 11:53:17:730,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_25d900e0-d9ad-40bf-984d-5a92313456e5,2023-02-10 11:54:17:734,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_60645c62-c7f5-47b5-8c29-1c2baf91edd3,2023-02-10 11:55:17:731,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_4673a92a-e68f-45e0-b7f8-8c32ad2c3d61,2023-02-10 11:56:17:734,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_3066a1e1-d2bf-42f6-98f8-d18b4deebce1,2023-02-10 11:57:17:731,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_d76b4ad2-aa75-4d88-a8e7-202e5f546257,2023-02-10 11:58:17:734,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_016eb44c-b0ee-43c6-9771-25155c2de6fe,2023-02-10 11:59:17:732,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_f4410ba3-d2c1-46d6-850a-1a58e12b823f,2023-02-10 12:00:17:733,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_e2fa5760-619d-4282-b3e6-c67154a3ffa0,2023-02-10 12:01:17:733,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.4}}",20.4}},20.4,45036,OFF
message_e5c53424-23ba-46df-a598-d2ba4c16d36d,2023-02-10 12:02:17:726,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_01a238ed-6198-4fe6-a121-e65edbed861d,2023-02-10 12:03:17:725,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_f81b7e5a-f8c0-4f61-b920-ad9059bc0c57,2023-02-10 12:04:17:733,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_9f109a87-2cf6-49c3-85ac-98c47e923859,2023-02-10 12:05:17:731,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_f0c54ac1-56da-4a34-be86-25c1bc09865c,2023-02-10 12:06:17:733,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_bf996bb6-1ef2-46d6-a43f-a82c5c1b9048,2023-02-10 12:07:17:731,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_80c177c5-3857-41b3-80e1-dd3c26b0a855,2023-02-10 12:08:17:730,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_0545931c-190a-4f73-9f92-bf484f0f971e,2023-02-10 12:09:17:732,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_fa480269-9e31-426d-bf8f-971623fb03ff,2023-02-10 12:10:17:729,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_e4ec1fb8-567e-41ae-8954-5e7765830106,2023-02-10 12:11:17:730,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.9}}",20.9}},20.9,45189,OFF
message_bf339a2c-af48-48ec-a8cd-28966d319a1d,2023-02-10 12:12:17:740,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_e6ae0b6a-28f7-429d-a884-5389abe0fbae,2023-02-10 12:13:17:730,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_247f2d4a-1118-41a5-ae7e-b705c391a5a2,2023-02-10 12:14:17:729,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_e0918760-56fe-4757-bb88-373c8c3e8195,2023-02-10 12:15:17:725,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21}}",21}},21,21,OFF
message_8c35cd99-8082-40e3-8fd9-0d4cc198fb59,2023-02-10 12:16:17:730,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_1c101664-9e00-402f-ad02-7276cecc81f7,2023-02-10 12:17:17:729,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.1}}",21.1}},21.1,44947,OFF
message_a76fe70b-4bc8-4423-893f-4e82c0a8c88d,2023-02-10 12:18:17:820,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_18b38f60-f9e9-4f21-909b-784988f3f5b3,2023-02-10 12:19:17:781,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_78bd5858-81f8-49d2-baf5-4e0f23f39cff,2023-02-10 12:20:17:699,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_641b4a72-576c-4254-9be3-907674735b18,2023-02-10 12:21:17:730,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_6bfe4201-e93a-4699-98dd-cae9dc621254,2023-02-10 12:22:17:726,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_6dbe1d9f-e676-4f8b-a290-9b1578022df8,2023-02-10 12:23:17:727,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_a72c1a45-b722-4f3f-a36d-4c4c0550f826,2023-02-10 12:24:17:693,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
message_c19d74a2-cadc-4c3f-b8c4-be7ed8984d34,2023-02-10 12:25:17:704,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::21.2}}",21.2}},21.2,44978,OFF
