id,createAt,payload,RIGHT,LEFT,temperature,ON/OFF
message_64a872b5-6f3f-48ab-b425-4958b9a13a88,2023-02-10 13:41:17:562,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_91b57fdd-d433-446e-8fa5-9947c65e6e1d,2023-02-10 13:42:17:557,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_6067bae6-0611-4c04-832d-0358a0f582c4,2023-02-10 13:43:17:566,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_a612e86c-f496-44d8-9d97-13d4f640f8fa,2023-02-10 13:44:17:559,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_ab1ee313-9175-4574-887e-da60212318b5,2023-02-10 13:45:17:572,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_8f070cf5-41c3-4c25-b9e4-bfb7b6a28014,2023-02-10 13:46:17:573,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_3ef24297-7d43-41e2-a5eb-6dc0ea835996,2023-02-10 13:47:17:540,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_ff6952e2-b84a-41ac-99e3-0eca95cde35f,2023-02-10 13:48:17:542,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_c983fba9-ca6a-4f74-8f4c-6d92486e320c,2023-02-10 13:49:17:534,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_210dd553-e696-4335-aa57-c75480e41276,2023-02-10 13:50:17:540,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
